Code,Name,Keep,Definitions,URL,Source,Source_url,Reason
clinical_care,Clinical Care,1,Index of factors reflecting clinical care with larger values indicating poorer access and quality. ,http://bit.ly/2Jwv3B6,County Health Rankings & Roadmaps,https://www.countyhealthrankings.org/explore-health-rankings/measures-data-sources/county-health-rankings-model/health-factors/clinical-care,"Despite these advances, many individuals do not have access to a provider. Nearly 30 million Americans remain without health insurance, generally considered the first barrier to receiving quality health care. Others do not access health services because of high deductible costs, language barriers, distance to a provider, or lack of specialists in their geographic area or health network. Those without regular access to quality providers and care are often diagnosed at later, less treatable stages of a disease than those with insurance, and, overall, have worse health outcomes, lower quality of life, and higher mortality rates."
cohort_size,Cohort Size,0,Num people who graduated high school in four years.,http://bit.ly/36kqjbu,EDFacts,http://www2.ed.gov/about/inits/ed/edfacts/data-files/index.html,"Completing more education is associated with being less likely to smoke and more likely to exercise, as well as better physical health and self-reported health. Adults that are more educated are more often employed and tend to earn more than their less educated counterparts. A 1-point increase in high school GPA raises annual earnings in adulthood by about 12% in males and nearly 14% in females.

Graduating with a high school diploma is associated with health benefits when compared to those that earn a Graduate Equivalency Diploma (GED), where GED earners are about twice as likely to have worse self-reported health and physical limitations.


It is important to note, as rates of high school and college completion are increasing, there are growing race/ethnicity gaps in educational attainment. From 1995 to 2015, the percentage of female adults, age 25 to 29 who completed at least a bachelor's degree went from 14% to 24% for blacks, 10% to 18% for Hispanics, and 28% to 45% in whites. And from 1995 to 2015, the percentage of male adults, age 25 to 29 who completed at least a bachelor's degree went from 14% to 19% for blacks, 7% to 13% for Hispanics, and 27% to 38% in whites. However, college enrollment race/ethnicity gaps are decreasing. In 2005, white recent high school graduates were 11 percentage points more likely to enroll in college than their black and Hispanic peers. In 2015, these gaps had decreased to 8 percentage points for black and 5 percentage points for Hispanic students."
death_num_child_mortality,Child Total Num Death,0,Total Num deaths among children under age 18.,http://bit.ly/2oryOAq,CDC WONDER mortality data,http://wonder.cdc.gov/ucd-icd10.html,"The child mortality rate can have a large impact on years of potential life lost (YPLL), so it is an important measure to reference when interpreting a county's YPLL rate."
death_num_infant_mortality,Infant Total Num Death,0,Num all infant deaths (within 1 year).,http://bit.ly/3320dYG,CDC WONDER mortality data,https://wonder.cdc.gov/ucd-icd10.html,"Infant mortality represents the health of the most vulnerable age group and can help with interpreting the years of potential life lost (YPLL) rate in a county. Infant mortality is also commonly used to examine global health differences, as well as to understand historic racial inequities in the US."
death_num_premature_age_adjusted_mortality,Premature Age-Adjusted Mortality,0,"Num deaths among residents under age 75 per 100,000 population (age-adjusted).",http://bit.ly/2WtyDRD,CDC WONDER mortality data,https://wonder.cdc.gov/,Premature Age-Adjusted Mortality is a common and important population health outcome measure.
dentist_rate,Dentist Rate,1,"Num dentists per 100,000 people.",http://bit.ly/34hcicV,Area Health Resource File/National Provider Identification file,https://data.hrsa.gov/data/download,"Untreated dental disease can lead to serious health effects including pain, infection, and tooth loss. Although lack of sufficient providers is only one barrier to accessing oral health care, much of the country suffers from shortages. According to the Health Resources and Services Administration, as of February 2019, there were 5,834 Dental Health Professional Shortage Areas (HPSAs), with 58 million people total living in them."
dentist_ratio,Dentist Ratio,0,Ratio of population to dentists.,http://bit.ly/34hcicV,Area Health Resource File/National Provider Identification file,https://data.hrsa.gov/data/download,"Untreated dental disease can lead to serious health effects including pain, infection, and tooth loss. Although lack of sufficient providers is only one barrier to accessing oral health care, much of the country suffers from shortages. According to the Health Resources and Services Administration, as of February 2019, there were 5,834 Dental Health Professional Shortage Areas (HPSAs), with 58 million people total living in them."
drug_overdose_mortality_rate,Drug Overdose Deaths Rate,0,"Num drug poisoning deaths per 100,000 population.",http://bit.ly/2qXPEYK,CDC WONDER mortality data,https://wonder.cdc.gov/,"Drug overdose deaths are a leading contributor to premature death and are largely preventable. Currently, the United States is experiencing an epidemic of drug overdose deaths. Since 2000, the rate of drug overdose deaths has increased by 137 percent nationwide. Opioids contribute largely to drug overdose deaths; since 2000, there has been a 200 percent increase in deaths involving opioids (opioid pain relievers and heroin)."
firearm_fatalities_rate,Firearm Fatalities Rate,0,"Num deaths due to firearms per 100,000 population.",http://bit.ly/33227Zk,CDC WONDER mortality data,https://wonder.cdc.gov/ucd-icd10.html,"Gun violence is a leading contributor to premature death in the United States. Firearm fatalities are a critical public health issue as they are largely preventable. The vast majority of firearm fatalities are the result of suicides (63%) and homicides (33%). In the United States, the firearm-related suicide and homicide rates are 8.0 and 25.2 times higher, respectively, than other high-income countries. Studies have shown that suicidal acts that prove fatal are strongly associated with the availability of household guns, and state-level rates of gun ownership are significantly associated with firearm and overall homicide rates."
food_environment_index,Food Environment Index,1,"Index of factors that contribute to a healthy food environment, 0 (worst) to 10 (best).",http://bit.ly/2Nljs9a,"USDA Food Environment Atlas, Map the Meal Gap from Feeding America",https://www.ers.usda.gov/data-products/food-environment-atlas.aspx,"The County Health Rankings measure of the food environment accounts for both proximity to healthy foods and income. This measure includes access to healthy foods by considering the distance an individual lives from a grocery store or supermarket. Food insecurity, the other food environment measure included in the Index, attempts to capture the access issue by understanding the barrier of cost.

There is strong evidence that food deserts are correlated with high prevalence of overweight, obesity, and premature death as supermarkets traditionally provide healthier options than convenience stores or smaller grocery stores. Additionally, those with low income may face barriers to accessing a consistent source of healthy food.. Lacking constant access to food is related to negative health outcomes such as weight gain and premature mortality."
graduation_rate,Graduation Rate,1,Percentage of ninth-grade cohort that graduates in four years.,http://bit.ly/36kqjbu,EDFacts,http://www2.ed.gov/about/inits/ed/edfacts/data-files/index.html,"Completing more education is associated with being less likely to smoke and more likely to exercise, as well as better physical health and self-reported health. Adults that are more educated are more often employed and tend to earn more than their less educated counterparts. A 1-point increase in high school GPA raises annual earnings in adulthood by about 12% in males and nearly 14% in females.

Graduating with a high school diploma is associated with health benefits when compared to those that earn a Graduate Equivalency Diploma (GED), where GED earners are about twice as likely to have worse self-reported health and physical limitations.

It is important to note, as rates of high school and college completion are increasing, there are growing race/ethnicity gaps in educational attainment. From 1995 to 2015, the percentage of female adults, age 25 to 29 who completed at least a bachelor's degree went from 14% to 24% for blacks, 10% to 18% for Hispanics, and 28% to 45% in whites. And from 1995 to 2015, the percentage of male adults, age 25 to 29 who completed at least a bachelor's degree went from 14% to 19% for blacks, 7% to 13% for Hispanics, and 27% to 38% in whites. However, college enrollment race/ethnicity gaps are decreasing. In 2005, white recent high school graduates were 11 percentage points more likely to enroll in college than their black and Hispanic peers. In 2015, these gaps had decreased to 8 percentage points for black and 5 percentage points for Hispanic students."
health_behavior,Health Behaviors,0,"Composite index of actions individual take that are detrimental to there health including tobacco, diet and exercise, alcohol and drug use, and sexual activity.",http://bit.ly/36jw1KQ,County Health Rankings & Roadmaps,https://www.countyhealthrankings.org/explore-health-rankings/measures-data-sources/county-health-rankings-model/health-factors/health-behaviors,"It is important to consider that not everyone has the means and opportunity to make healthy decisions. Policies and programs put in place have marginalized some population groups and communities, keeping them from the supports and resources necessary to thrive. Addressing health behaviors requires strategies to encourage individuals to engage in healthy behaviors, as well as ensuring that they can access nutritious food, safe spaces to be physically active, and supports to make healthy choices."
health_factors,Health Overall Factors,0,"A combination of health behaviors, such as drug use and sexual activity, clinical (access and quality), socioeconomic factors, and physical environment factors.",http://bit.ly/2PsuxIe,County Health Rankings & Roadmaps,https://www.countyhealthrankings.org/explore-health-rankings/measures-data-sources/county-health-rankings-model/health-factors,"There are many things that influence how well and how long we live. Everything from our education to our environments impact our health. Health Factors represent those things we can modify to improve the length and quality of life for residents. They are predictors of how healthy our communities can be in the future.

There is no one factor that dictates the overall health of an individual or community. A combination of multiple modifiable factors, from clean air and water to stable and affordable housing, need to be considered to ensure community health for all. The County Health Rankings illuminate those opportunities for improvement by ranking the health of nearly every county in the nation across four Health Factors."
health_outcomes,Health Outcomes,0,General measure based on length and quality of life.,http://bit.ly/36eMAaF,County Health Rankings & Roadmaps,https://www.countyhealthrankings.org/explore-health-rankings/measures-data-sources/county-health-rankings-model/health-outcomes,"Health Outcomes represent how healthy a county is right now. They reflect the physical and mental well-being of residents within a community through measures representing not only the length of life but quality of life as well.


Health Outcomes are influenced by the many factors that influence health, from the quality of medical care received to the availability of good jobs, clean water, and affordable housing. These health factors are influenced by programs and policies in place at the local, state, and federal levels. By looking at data related to Health Outcomes, we can get a glimpse at whether health improvement programs in a county are working. For example, a non-smoking ordinance in restaurants might impact smoking rates and ultimately lead to longer lives.


There are significant differences in health outcomes according to where we live, how much money we make, our race and ethnicity, and other characteristics. It is important to dig into the data to understand where and why health outcomes differ across a county, how a variety of health factors combine to influence these outcomes, and how our policies and programs are supporting'or restricting'opportunities for health for all."
hiv_prevalence_rate,HIV Prevalence Rate,1,"Num newly diagnosed HIV cases per 100,000 population.",http://bit.ly/332kxJt,"National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention",https://www.cdc.gov/nchhstp/default.htm,HIV is an important marker for a range of risky health behaviors including intravenous drug use and unprotected sex. This can be a valuable source of data for communities in understanding the toll that risky health behaviors take on their population and health care system.
homicide_rate,Homicides Rate,0,"Num deaths due to homicide per 100,000 population.",http://bit.ly/32YBdSc,CDC WONDER mortality data,https://wonder.cdc.gov/ucd-icd10.html,"Homicide rates are valuable to report because they provide specificity to violent crime and injury deaths. High levels of violent crime, including homicide, compromise physical safety and psychological well-being."
household_income,Median Household Income,1,The income where half of households in a county earn more and half of households earn less.,http://bit.ly/2Wrp5GP,Small Area Income and Poverty Estimates,https://www.census.gov/data/datasets/2017/demo/saipe/2017-state-and-county.html,"Median household income is a well-recognized indicator of income and poverty, which can compromise physical and mental health. However, it is strongly correlated with children in poverty, which is already ranked, and therefore not included as a ranked measure."
household_income_black,Household Income (Black),0,The median household income for blacks.,http://bit.ly/2Wrp5GP,Small Area Income and Poverty Estimates,https://www.census.gov/data/datasets/2017/demo/saipe/2017-state-and-county.html,"Median household income is a well-recognized indicator of income and poverty, which can compromise physical and mental health. However, it is strongly correlated with children in poverty, which is already ranked, and therefore not included as a ranked measure."
household_income_hispanic,Household Income (Hisp),0,The median household income for hispanics.,http://bit.ly/2Wrp5GP,Small Area Income and Poverty Estimates,https://www.census.gov/data/datasets/2017/demo/saipe/2017-state-and-county.html,"Median household income is a well-recognized indicator of income and poverty, which can compromise physical and mental health. However, it is strongly correlated with children in poverty, which is already ranked, and therefore not included as a ranked measure."
household_income_white,Household Income (White),0,The median household income for whites.,http://bit.ly/2Wrp5GP,Small Area Income and Poverty Estimates,https://www.census.gov/data/datasets/2017/demo/saipe/2017-state-and-county.html,"Median household income is a well-recognized indicator of income and poverty, which can compromise physical and mental health. However, it is strongly correlated with children in poverty, which is already ranked, and therefore not included as a ranked measure."
inadequate_facilities,Inadequate Facilities,1,Percentage of household with inadequate kitchen/plumbing facilities.,http://bit.ly/2pq7Ppv,Comprehensive Housing Affordability Strategy (CHAS) data,https://www.huduser.gov/portal/datasets/cp.html,"Good health depends on having homes that are safe and free from physical hazards. When adequate housing protects individuals and families from harmful exposures and provides them with a sense of privacy, security, stability and control, it can make important contributions to health. In contrast, poor quality and inadequate housing contributes to health problems such as infectious and chronic diseases, injuries, and poor childhood development."
income_ratio,Income Ratio,1,Ratio of household income at the 80th percentile to income at the 20th percentile.,http://bit.ly/332hHEj,"American Community Survey, 5-year estimates",http://factfinder2.census.gov/,"Income inequality within US communities can have broad health impacts, including increased risk of mortality, poor health, and increased cardiovascular disease risks. Inequalities in a community can accentuate differences in social class and status and serve as a social stressor. Communities with greater income inequality can experience a loss of social connectedness, as well as decreases in trust, social support, and a sense of community for all residents."
infant_mortality_rate,Infant Mortality Rate,0,"Num all infant deaths (within 1 year), per 1,000 live births.",http://bit.ly/3320dYG,CDC WONDER mortality data,https://wonder.cdc.gov/ucd-icd10.html,"Infant mortality represents the health of the most vulnerable age group and can help with interpreting the years of potential life lost (YPLL) rate in a county. Infant mortality is also commonly used to examine global health differences, as well as to understand historic racial inequities in the US."
infant_mortality_rate_black,Infant Mortality Rate (Black),0,"Num all black infant deaths (within 1 year), per 1,000 live births.",http://bit.ly/3320dYG,CDC WONDER mortality data,https://wonder.cdc.gov/ucd-icd10.html,"Infant mortality represents the health of the most vulnerable age group and can help with interpreting the years of potential life lost (YPLL) rate in a county. Infant mortality is also commonly used to examine global health differences, as well as to understand historic racial inequities in the US."
infant_mortality_rate_hispanic,Infant Mortality Rate (Hispanic),0,"Num all hispanic infant deaths (within 1 year), per 1,000 live births.",http://bit.ly/3320dYG,CDC WONDER mortality data,https://wonder.cdc.gov/ucd-icd10.html,"Infant mortality represents the health of the most vulnerable age group and can help with interpreting the years of potential life lost (YPLL) rate in a county. Infant mortality is also commonly used to examine global health differences, as well as to understand historic racial inequities in the US."
infant_mortality_rate_white,Infant Mortality Rate (White),0,"Num all white infant deaths (within 1 year), per 1,000 live births.",http://bit.ly/3320dYG,CDC WONDER mortality data,https://wonder.cdc.gov/ucd-icd10.html,"Infant mortality represents the health of the most vulnerable age group and can help with interpreting the years of potential life lost (YPLL) rate in a county. Infant mortality is also commonly used to examine global health differences, as well as to understand historic racial inequities in the US."
injury_death_rate,Injury Death Rate,0,"Num deaths due to injury per 100,000 population.",http://bit.ly/34dIspz,CDC WONDER mortality data,http://wonder.cdc.gov/ucd-icd10.html,"Injuries are one of the leading causes of death; unintentional injuries were the third leading cause, and intentional injuries the 10th leading cause, of US mortality in 2016. The leading causes of death in 2016 among unintentional injuries, respectively, are: poisoning, motor vehicle traffic deaths, and falls. Among intentional injuries, the leading causes of death in 2016, respectively, are: firearm suicides, suffocation suicides, and firearm homicides. Unintentional injuries are a substantial contributor to premature death. In 2016, Unintentional injuries were the leading cause of death for all groups under age 45. Injuries account for 28% of all emergency department visits, and falls account for over one-third of those visits."
labor_force,Labor Force,0,"All the members of a particular organization or population who are able to work, viewed collectively.",http://bit.ly/2N1WepD,Bureau of Labor Statistics,http://www.bls.gov/lau/tables.htm,"The unemployed population experiences worse health and higher mortality rates than the employed population. Unemployment has been shown to lead to an increase in unhealthy behaviors related to alcohol and tobacco consumption, diet, exercise, and other health-related behaviors, which in turn can lead to increased risk for disease or mortality, especially suicide. Because employer-sponsored health insurance is the most common source of health insurance coverage, unemployment can also limit access to health care."
life_expectancy,Life Expectancy,0,Average Num years a person can expect to live.,http://bit.ly/36gPj3q,National Center for Health Statistics - Mortality Files,https://www.cdc.gov/nchs/nvss/deaths.htm,Life expectancy is a common and important population health outcome measure and can be easier to interpret than other mortality measures.
life_expectancy_black,Life Expectancy (Black),0,Average Num years a black person can expect to live.,http://bit.ly/36gPj3q,National Center for Health Statistics - Mortality Files,https://www.cdc.gov/nchs/nvss/deaths.htm,Life expectancy is a common and important population health outcome measure and can be easier to interpret than other mortality measures.
life_expectancy_hispanic,Life Expectancy (Hispanic),0,Average Num years a hispanic person can expect to live.,http://bit.ly/36gPj3q,National Center for Health Statistics - Mortality Files,https://www.cdc.gov/nchs/nvss/deaths.htm,Life expectancy is a common and important population health outcome measure and can be easier to interpret than other mortality measures.
life_expectancy_white,Life Expectancy (White),0,Average Num years a white person can expect to live.,http://bit.ly/36gPj3q,National Center for Health Statistics - Mortality Files,https://www.cdc.gov/nchs/nvss/deaths.htm,Life expectancy is a common and important population health outcome measure and can be easier to interpret than other mortality measures.
life_length,Length Of Life,0,"Measuring how long people in a community live tells us whether people are dying too early, and it prompts us to look at what’s driving premature deaths.",http://bit.ly/2PvZknq,County Health Rankings & Roadmaps,https://www.countyhealthrankings.org/explore-health-rankings/measures-data-sources/county-health-rankings-model/health-outcomes/length-of-life,"By exploring a county's data related to Length of Life, we can answer a critical question: Are people living long, healthy lives? The answer to that question can highlight important indicators about a community's health. It also reveals if people in one community are dying earlier than those in other communities.


At a community level, we can influence how long people live by focusing on the many factors that influence health, from access to nutritious foods and quality medical care to good jobs and a clean environment. Length of life can vary greatly by place, income, and race and ethnicity. By digging into the Rankings data, we can identify where these differences exist and what health factors to be explore to make a difference.

The County Health Rankings uses a Num measures for Length of Life, including deaths of those younger than 75, how long someone can expect to live, and statistics for child and infant deaths. Select the Measures tab above to learn more about these measures and explore see what's happening in your county."
life_quality,Quality Of Life,0,Quality of Life refers to how healthy people feel while alive.,http://bit.ly/2q2NnLk,County Health Rankings & Roadmaps,https://www.countyhealthrankings.org/explore-health-rankings/measures-data-sources/county-health-rankings-model/health-outcomes/quality-of-life,"Examining quality of life can tell us a lot about how people perceive their health, whether they feel healthy and satisfied. When communities have higher rates of those who do not feel healthy, it can influence other factors of health including mortality rates, unemployment, poverty, and the percentage of adults who did not complete high school.

Getting this sense of the physical and mental health of a community can also bring to light inequities and help monitor trends, as well as identify risk factors and policies to address those risk factors."
mentally_unhealthy_days,Mentally Unhealthy Days,1,Average Num mentally unhealthy days reported in past 30 days (age-adjusted).,http://bit.ly/2BWkvHl,Behavioral Risk Factor Surveillance System,https://www.cdc.gov/brfss/,"Self-reported health status is a general measure of health-related quality of life (HRQoL) in a population. Measuring HRQoL helps characterize the burden of disabilities and chronic diseases in a population. Self-reported health status is a widely used measure of people's health-related quality of life. In addition to measuring how long people live, it is important to also include measures that consider how healthy people are while alive. Further, reports of days when mental health was not good is a reliable estimate of recent health.

Reliability for the healthy days measures in the Behavioral Risk Factor Surveillance System is high. In addition, a study examining the validity of healthy days as a summary measure for county health status found that counties with more unhealthy days were likely to have higher unemployment, poverty, percentage of adults who did not complete high school, mortality rates, and prevalence of disability than counties with fewer unhealthy days. Physically unhealthy days were more strongly associated with all county-level variables than mentally unhealthy days. "
mhp_rate,Mental Health Prov Rate,1,"Num mental health providers per 100,000 people.",http://bit.ly/2NtPHmw,"CMS, National Provider Identification",http://download.cms.gov/nppes/NPI_Files.html,"Access to care requires not only financial coverage, but also access to providers. Thirty percent of the population lives in a county designated as a Mental Health Professional Shortage Area. As the mental health parity aspects of the Affordable Care Act create increased coverage for mental health services, many anticipate increased workforce shortages."
mhp_ratio,Mental Health Prov Ratio,1,Ratio of population to mental health providers.,http://bit.ly/2NtPHmw,"CMS, National Provider Identification",http://download.cms.gov/nppes/NPI_Files.html,"Access to care requires not only financial coverage, but also access to providers. Thirty percent of the population lives in a county designated as a Mental Health Professional Shortage Area. As the mental health parity aspects of the Affordable Care Act create increased coverage for mental health services, many anticipate increased workforce shortages."
mv_mortality_rate,Motor Vehicle Crash Deaths Rate,0,"Num motor vehicle crash deaths per 100,000 population.",http://bit.ly/2MZjV1F,CDC WONDER mortality data,https://wonder.cdc.gov/,"Motor vehicle crashes are one of the leading causes of death in the US. The lifetime economic costs of motor vehicle crashes in the United States in 2010 was $242 billion, which represents the cost of 32,999 fatalities, 3.9 million non-fatal injuries, and 24 million damaged vehicles."
num_african_american,Num African American,0,Total Num African Americans in the population.,http://bit.ly/2q7p4M8,Census Population Estimates,https://www.census.gov/programs-surveys/popest.html,
num_alcohol_impaired_driving_deaths,Num Alcohol Impaired Driving Deaths,0,Num driving deaths with alcohol involvement.,http://bit.ly/2MYWS77,Fatality Analysis Reporting System,ftp://ftp.nhtsa.dot.gov/fars/,"Alcohol-impaired driving deaths directly measures the relationship between alcohol and motor vehicle crash deaths. In 2017, approximately 10,900 Americans were killed in alcohol-related motor vehicle crashes. The annual cost of alcohol-related crashes totals more than $44 billion. Drivers between the ages of 21 and 24 cause 27% of all alcohol-impaired deaths."
num_american_indian_or_alaskan_native,Num American Indian/Alaskan Native,0,Total Num American Indian/Alaskan Natives in the population.,http://bit.ly/2q7p4M8,Census Population Estimates,https://www.census.gov/programs-surveys/popest.html,
num_asian,Num Asian,0,Total Num asians in the population.,http://bit.ly/2q7p4M8,Census Population Estimates,https://www.census.gov/programs-surveys/popest.html,
num_associations,Social Associations,1,"Num membership associations per 10,000 population.",http://bit.ly/34cZ4xK,County Business Patterns,https://www.census.gov/data/datasets/2016/econ/cbp/2016-cbp.html,"Poor family support, minimal contact with others, and limited involvement in community life are associated with increased morbidity and early mortality. A 2001 study found that the magnitude of health risk associated with social isolation is similar to the risk of cigarette smoking. Furthermore, social support networks have been identified as powerful predictors of health behaviors, suggesting that individuals without a strong social network are less likely to make healthy lifestyle choices than individuals with a strong network. A study found that people living in areas with high levels of social trust are less likely to rate their health status as fair or poor than people living in areas with low levels of social trust. Researchers have argued that social trust is enhanced when people belong to voluntary groups and organizations because people who belong to such groups tend to trust others who belong to the same group."
num_chlamydia_cases,Num Chlamydia Cases,0,"Num newly diagnosed chlamydia cases per 100,000 population.",http://bit.ly/2N1NTC8,"National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention",https://gis.cdc.gov/grasp/nchhstpatlas/main.html?value=atlas,"Chlamydia incidence rates are associated with unsafe sexual activity. Chlamydia rates are readily available and reliable for nearly all counties. Chlamydia is the most common bacterial sexually transmitted infection (STI) in North America and is one of the major causes of tubal infertility, ectopic pregnancy, pelvic inflammatory disease, and chronic pelvic pain. STIs are associated with a significantly increased risk of morbidity and mortality, including increased risk of cervical cancer, infertility, and premature death. STIs also have a high economic burden on society. The direct medical costs of managing sexually transmitted infections and their complications in the US, for example, was approximately 15.6 billion dollars in 2008."
num_dentists,Num Dentists,0,Num dentists.,http://bit.ly/34hcicV,Area Health Resource File/National Provider Identification file,https://data.hrsa.gov/data/download,"Untreated dental disease can lead to serious health effects including pain, infection, and tooth loss. Although lack of sufficient providers is only one barrier to accessing oral health care, much of the country suffers from shortages. According to the Health Resources and Services Administration, as of February 2019, there were 5,834 Dental Health Professional Shortage Areas (HPSAs), with 58 million people total living in them."
num_driving_deaths,Num Driving Deaths,0,"Num motor vehicle crash deaths per 100,000 population.",http://bit.ly/2MZjV1F,CDC WONDER mortality data,https://wonder.cdc.gov/,"Motor vehicle crashes are one of the leading causes of death in the US. The lifetime economic costs of motor vehicle crashes in the United States in 2010 was $242 billion, which represents the cost of 32,999 fatalities, 3.9 million non-fatal injuries, and 24 million damaged vehicles."
