STATE,POSTCODE,STEMERG,CLSCHOOL,CLDAYCR,CLNURSHM,STAYHOME,END_STHM,CLBSNS,END_BSNS,RELIGEX,FM_ALL,FMFINE,FMCITE,FMNOENF,FM_EMP,ALCOPEN,GUNOPEN,CLREST,ENDREST,RSTOUTDR,CLGYM,ENDGYM,CLMOVIE,END_MOV,END_HAIR,END_CONST,END_RELG,END_BRS,CLBAR2,EVICINTN,EVICENF,RNTGP,UTILSO,MORGFR,SNAPALLO,SNAPEBT,SNAPSUSP,MED1135W,ACAENROL,PREVTLHL,TLHLAUD,TLHLMED,RACETEST,RACECASE,RACEHOSP,RACEDEAT,VISITPER,VISITATT,NOCOPAY,NOPAYCOV,NOPAYALL,YESCOPAY,ELECPRCR,ENDELECP,WTPRD,WV_WTPRD,WV_WKSR,UIQUAR,UIHIRISK,UICLDCR,UIEXTND,UIMAXAMT,UIMAXEXT,UIMAXDUR,UIMAXCAR,LMABRN,TLHlBUPR,EXTOPFL,HMDLVOP,TLHLCL24,EXCEMORP,WVDEAREQ,PDSKLV,MEDEXP,POPDEN18,POP18,SQML,HMLS19,UNEMP18,POV18,RISKCOV,DEATH18
Connecticut,CT,3/10/20,3/17/20,0,3/9/20,0,0,3/23/20,5/20/20,0,4/20/20,0,0,1,4/3/20,1,1,3/16/20,5/20/20,1,3/16/20,6/17/20,3/16/20,6/17/20,6/1/20,0,5/29/20,0,0,4/10/20,3/20/20,4/10/20,3/12/20,0,3/28/20,4/24/20,4/2/20,3/27/20,3/19/20,0,3/19/20,3/18/20,0,1,0,1,3/13/20,0,0,0,1,0,0,0,1,0,1,0,0,1,0,649,1249,26,39,0,0,0,0,0,0,0,1,1,644.54,3572665,5543,"3,033",5.5,10.4,36,"31,230"
Delaware,DE,3/13/20,3/16/20,4/6/20,0,3/24/20,6/1/20,3/24/20,5/8/20,1,4/28/20,0,1,0,5/1/20,1,1,3/16/20,6/1/20,0,3/19/20,6/1/20,3/19/20,6/1/20,6/8/20,0,5/20/20,6/15/20,0,3/24/20,3/24/20,0,3/24/20,0,3/26/20,4/30/20,4/13/20,3/27/20,0,1,0,3/18/20,1,1,0,1,3/12/20,0,0,1,0,0,0,0,1,0,1,1,1,1,1,400,1000,26,39,0,0,0,0,0,0,0,0,1,388.58,967171,2489,921,5.7,12.5,41.3,"9,433"
District of Columbia,DC,3/11/20,3/16/20,0,0,4/1/20,5/29/20,3/25/20,5/29/20,0,4/15/20,1,0,0,4/15/20,1,0,3/16/20,5/29/20,1,3/17/20,6/22/20,3/17/20,0,5/29/20,0,6/22/20,5/29/20,0,0,3/15/20,0,3/17/20,0,4/1/20,5/19/20,0,4/3/20,4/6/20,0,3/19/20,3/12/20,0,1,0,1,3/15/20,3/15/20,1,0,0,0,0,0,0,0,1,1,0,0,0,444,1044,26,39,0,0,0,0,0,0,0,1,1,"11,496.81","702,455",61.1,6521,7.5,16.2,31.8,"5,008"
Florida,FL,3/9/20,3/17/20,0,3/15/20,4/3/20,5/18/20,0,5/18/20,1,0,0,0,0,5/11/20,1,1,3/20/20,5/18/20,0,3/20/20,5/18/20,3/20/20,0,5/11/20,0,0,0,6/26/20,4/2/20,4/2/20,0,0,0,3/30/20,5/27/20,0,3/16/20,0,0,0,3/18/20,0,1,1,1,3/11/20,0,0,1,0,0,3/20/20,5/8/20,0,3/31/20,1,1,0,0,0,275,875,12,25,0,0,0,0,0,0,0,0,0,323.90,21299325,65758,"28,328",5.2,13.6,42.1,"205,426"
Georgia,GA,3/14/20,3/18/20,0,4/3/20,4/3/20,5/1/20,0,5/1/20,0,0,0,0,0,4/27/20,1,1,4/3/20,4/27/20,0,4/3/20,4/24/20,4/3/20,4/27/20,4/24/20,0,6/16/20,6/1/20,0,0,0,0,0,0,3/24/20,6/5/20,4/10/20,4/1/20,0,1,3/18/20,3/18/20,0,1,0,1,3/12/20,3/16/20,0,1,0,0,0,4/20/20,1,0,1,1,1,1,1,365,965,14,27,0,0,0,0,0,4/1/20,0,0,0,177.02,10519475,59425,"10,443",4.8,14.3,36.2,"85,202"
Hawaii,HI,3/4/20,3/16/20,0,3/17/20,3/25/20,5/31/20,3/25/20,5/7/20,0,4/16/20,1,1,0,4/16/20,1,1,3/17/20,6/5/20,0,0,6/19/20,3/17/20,0,6/15/20,0,6/1/20,0,0,4/16/20,3/17/20,0,0,0,4/17/20,5/28/20,0,3/26/20,0,0,4/15/20,3/30/20,0,1,0,0,3/13/20,0,0,0,0,1,4/16/20,4/26/20,0,3/16/20,1,0,0,1,0,648,1248,26,39,0,0,0,0,0,0,0,0,1,129.94,1420491,10932,"6,412",3.8,8.8,39.1,"11,415"
Idaho,ID,3/13/20,3/24/20,0,0,3/25/20,5/1/20,3/25/20,5/1/20,0,0,0,0,0,0,1,1,3/25/20,5/16/20,0,3/25/20,5/16/20,3/25/20,5/30/20,5/16/20,0,5/1/20,5/30/20,0,0,0,0,0,0,4/2/20,0,0,3/26/20,0,0,4/6/20,3/17/20,0,1,0,1,3/13/20,0,0,0,1,0,0,0,0,3/27/20,1,1,1,0,0,448,1048,20,33,0,0,0,0,0,0,0,0,1,20.99,1754208,83569,"2,315",4,11.8,36.2,"14,261"
Illinois,IL,3/9/20,3/17/20,3/23/20,0,3/21/20,5/29/20,3/21/20,5/29/20,0,5/1/20,0,0,1,5/1/20,1,1,3/16/20,5/29/20,1,3/21/20,5/29/20,3/21/20,0,5/29/20,0,5/1/20,0,0,0,3/21/20,0,3/18/20,0,4/1/20,4/17/20,0,3/23/20,0,0,3/19/20,3/19/20,1,1,0,1,3/14/20,0,1,0,0,0,0,5/11/20,0,3/16/20,1,1,0,1,0,484,1084,26,39,0,0,0,0,0,0,0,0,1,220.00,12741080,57914,"10,199",5.5,12.1,36.2,"110,022"
Indiana,IN,3/6/20,3/20/20,0,0,3/25/20,5/18/20,3/25/20,5/18/20,0,0,0,0,0,5/1/20,1,1,3/16/20,5/18/20,0,3/24/20,6/1/20,3/25/20,6/12/20,5/11/20,0,5/8/20,6/12/20,0,3/19/20,0,0,3/19/20,0,3/27/20,5/14/20,4/13/20,3/25/20,0,0,3/30/20,3/30/20,0,1,0,1,3/12/20,0,0,1,0,0,3/16/20,4/27/20,0,3/26/20,1,1,0,1,0,390,990,26,39,1,0,0,0,3/28/20,0,0,0,1,183.74,6691878,36420,"5,471",4.4,13.1,39.9,"65,693"
Iowa,IA,3/9/20,4/2/20,0,0,0,0,3/26/20,5/15/20,0,0,0,0,0,0,1,1,3/17/20,5/15/20,0,3/17/20,5/15/20,3/17/20,5/22/20,5/15/20,0,5/1/20,5/28/20,0,3/19/20,3/19/20,0,3/27/20,0,3/25/20,6/5/20,0,3/25/20,0,0,3/26/20,3/13/20,0,1,,1,3/14/20,0,0,1,0,0,3/27/20,4/27/20,1,0,1,1,1,1,0,481,1081,26,39,1,0,0,0,0,0,0,0,1,56.09,3156145,56273,"2,315",3.6,11.2,36.9,"30,367"
Kansas,KS,3/12/20,3/18/20,0,0,3/30/20,5/4/20,3/30/20,5/4/20,1,0,0,0,0,0,1,1,3/30/20,5/4/20,0,0,5/18/20,0,5/22/20,5/18/20,0,5/4/20,6/8/20,0,3/23/20,0,0,3/16/20,0,4/1/20,4/25/20,0,3/24/20,0,0,6/22/20,4/1/20,1,1,1,1,3/13/20,0,0,1,0,0,0,0,0,3/31/20,1,0,0,0,1,488,1088,16,29,0,0,0,0,0,0,0,0,0,35.39,2911505,82278,"2,381",3.8,12,38,"27,537"
Kentucky,KY,3/6/20,3/16/20,3/23/20,0,0,0,3/26/20,5/11/20,0,5/11/20,0,0,1,5/11/20,1,1,3/16/20,5/22/20,0,3/18/20,6/1/20,3/18/20,6/1/20,5/25/20,0,5/20/20,0,0,4/1/20,3/25/20,0,3/16/20,0,3/28/20,5/20/20,0,3/25/20,0,0,3/18/20,3/18/20,0,1,0,1,3/11/20,0,0,1,0,0,3/18/20,5/6/20,0,3/16/20,1,1,1,0,0,552,1152,26,39,1,0,0,0,0,0,0,0,1,110.58,4468402,40408,"4,079",5.2,16.9,43.6,"48,707"
Louisiana,LA,3/11/20,3/16/20,0,3/12/20,3/23/20,5/15/20,3/23/20,5/1/20,0,0,0,0,0,5/1/20,1,1,3/17/20,5/1/20,1,3/17/20,5/15/20,3/17/20,5/15/20,5/15/20,0,6/5/20,6/5/20,0,0,0,0,3/13/20,0,3/27/20,5/20/20,4/13/20,3/23/20,0,0,3/23/20,3/13/20,0,0,0,1,3/12/20,3/12/20,0,0,1,0,3/18/20,4/27/20,0,3/13/20,1,1,0,1,0,247,847,26,39,1,0,0,0,0,0,0,0,1,88.97,4659978,52378,"2,941",6.4,18.6,42.1,"46,048"
Maine,ME,3/15/20,4/2/20,0,0,4/1/20,5/31/20,3/25/20,5/1/20,0,5/1/20,0,0,1,5/1/20,1,1,3/18/20,6/1/20,1,3/25/20,6/17/20,3/25/20,0,5/1/20,0,5/29/20,6/1/20,0,0,4/16/20,0,3/16/20,0,3/28/20,5/20/20,0,4/7/20,0,1,0,3/20/20,0,1,0,1,3/14/20,0,0,1,0,0,0,5/1/20,0,3/18/20,1,1,0,0,0,445,1045,26,39,0,0,3/24/20,0,0,0,0,0,1,37.83,1338404,35380,"2,106",3.5,11.6,42.5,"14,715"
Maryland,MD,3/5/20,3/16/20,3/30/20,4/5/20,3/30/20,5/15/20,3/23/20,5/15/20,0,4/18/20,1,1,0,4/18/20,1,1,3/16/20,5/29/20,1,3/16/20,6/19/20,3/16/20,0,5/15/20,0,5/15/20,0,0,3/16/20,0,0,3/16/20,0,4/1/20,4/28/20,4/13/20,3/26/20,4/1/20,0,4/1/20,3/12/20,0,1,0,1,3/12/20,0,0,0,1,0,3/24/20,5/7/20,1,0,1,1,0,0,0,430,1030,26,39,0,0,0,0,0,0,0,1,1,487.08,6042718,12406,"6,561",4.9,9,37.1,"50,568"
Massachusetts,MA,3/10/20,3/16/20,3/23/20,03/16/2020,3/24/20,5/18/20,3/24/20,5/18/20,0,5/6/20,1,0,0,5/6/20,1,0,3/17/20,6/8/20,1,3/24/20,0,3/24/20,0,5/25/20,5/18/20,5/18/20,0,0,4/20/20,4/20/20,0,3/24/20,0,3/25/20,4/17/20,4/10/20,3/26/20,3/11/20,0,3/16/20,3/12/20,0,1,1,1,3/12/20,0,0,0,1,0,3/18/20,5/18/20,0,3/18/20,1,1,1,0,0,823,1423,26,39,0,0,0,0,0,4/6/20,0,1,1,653.98,6902149,10554,"18,471",4.8,10,34.6,"59,152"
Michigan,MI,3/10/20,3/16/20,3/24/20,3/14/20,3/24/20,6/1/20,3/24/20,5/26/20,1,4/26/20,0,1,1,4/26/20,1,0,3/16/20,6/8/20,1,3/16/20,0,3/16/20,0,6/16/20,5/7/20,0,6/8/20,0,0,3/20/20,0,3/28/20,0,3/24/20,4/9/20,4/9/20,4/6/20,0,1,0,3/12/20,0,1,0,1,3/13/20,0,0,1,0,0,3/21/20,5/29/20,1,0,1,1,1,1,1,362,962,20,33,0,0,0,0,0,0,0,1,1,103.36,9995915,96714,"8,575",5.3,14.1,41.2,"98,903"
Minnesota,MN,3/13/20,3/18/20,0,3/16/20,3/28/20,5/18/20,3/28/20,4/27/20,0,0,0,0,0,6/1/20,1,1,3/17/20,6/1/20,1,3/17/20,6/10/20,3/17/20,6/10/20,6/1/20,0,5/18/20,6/10/20,0,3/24/20,3/24/20,0,0,0,4/13/20,5/27/20,4/13/20,3/27/20,3/20/20,0,0,3/28/20,0,1,0,1,3/11/20,0,0,0,1,0,3/23/20,5/10/20,0,4/6/20,0,1,1,1,0,462,1062,26,39,0,0,0,0,0,0,0,0,1,64.54,5611179,86936,"7,977",3.4,9.6,33.9,"44,745"
Mississippi,MS,3/14/20,3/20/20,0,3/24/20,4/3/20,4/27/20,4/3/20,4/27/20,0,0,0,0,0,5/7/20,1,1,3/24/20,5/7/20,0,3/24/20,5/11/20,3/24/20,6/1/20,5/11/20,0,5/19/20,6/1/20,0,0,4/1/20,0,3/19/20,0,3/27/20,5/20/20,4/10/20,3/23/20,0,0,3/16/20,4/10/20,0,1,0,1,3/12/20,0,0,1,0,0,3/19/20,4/24/20,0,3/21/20,1,1,0,0,0,235,835,26,39,1,0,0,0,0,3/30/20,0,0,0,61.66,2986530,48432,"1,184",7.1,19.7,42.5,"32,301"
Missouri,MO,3/13/20,3/23/20,0,4/6/20,4/6/20,5/4/20,0,5/4/20,1,0,0,0,0,0,1,1,3/23/20,5/4/20,0,0,5/4/20,0,0,5/4/20,0,5/27/20,5/4/20,0,0,0,0,0,0,3/30/20,5/20/20,0,3/25/20,0,0,3/26/20,3/23/20,0,1,0,1,3/12/20,0,1,0,0,0,0,0,1,0,1,1,0,0,0,320,920,13,26,0,0,0,0,0,0,0,0,0,87.89,6126452,69707,"6,179",4.2,13.2,40.5,"63,117"
Montana,MT,3/12/20,3/16/20,0,3/15/20,3/28/20,4/26/20,3/28/20,4/27/20,0,0,0,0,0,0,1,1,3/20/20,5/4/20,0,3/20/20,5/15/20,3/20/20,5/15/20,4/27/20,0,4/26/20,5/4/20,0,3/30/20,3/30/20,0,3/30/20,0,4/1/20,0,4/10/20,3/30/20,0,0,3/20/20,3/19/20,0,1,0,0,3/13/20,0,1,0,0,0,0,0,0,3/17/20,1,1,0,0,0,552,1152,28,41,0,0,0,0,0,0,0,0,1,7.22,1062305,147040,"1,357",3.5,13,39,"9,992"
Nebraska,NE,3/13/20,4/3/20,0,0,0,0,0,5/18/20,0,0,0,0,0,5/4/20,1,1,4/3/20,5/18/20,0,4/3/20,5/18/20,4/3/20,0,6/1/20,0,5/4/20,6/22/20,0,3/25/20,0,0,0,0,4/7/20,6/18/20,0,4/2/20,0,0,3/23/20,3/17/20,0,0,0,0,3/16/20,0,1,0,0,0,4/3/20,5/4/20,0,3/17/20,1,1,0,0,0,440,1040,26,39,1,0,0,0,0,0,0,0,1,24.94,1929268,77348,2365,3.5,11,36.6,"16,904"
Nevada,NV,3/12/20,3/16/20,0,0,3/31/20,5/9/20,3/21/20,5/9/20,0,6/26/20,1,1,0,5/9/20,0,1,3/21/20,5/9/20,0,3/21/20,5/29/20,3/21/20,5/29/20,5/9/20,0,5/29/20,5/29/20,0,3/29/20,0,0,0,0,4/7/20,0,5/13/20,4/7/20,3/17/20,0,3/17/20,3/17/20,1,1,0,1,3/7/20,3/16/20,0,0,0,1,0,0,0,3/18/20,1,0,0,0,0,469,1069,26,39,0,0,0,0,0,0,4/8/20,1,1,27.44,3034392,110572,"7,169",5.6,12.9,36.1,"24,715"
New Hampshire,NH,3/13/20,3/16/20,0,3/15/20,3/28/20,6/16/20,3/28/20,5/11/20,0,0,0,0,0,5/1/20,1,1,3/16/20,5/18/20,1,3/27/20,6/1/20,3/28/20,0,5/11/20,0,5/29/20,0,0,3/17/20,3/17/20,0,3/17/20,0,4/1/20,5/12/20,4/13/20,3/23/20,0,0,3/18/20,3/17/20,0,1,1,1,3/16/20,3/16/20,0,1,0,0,0,0,0,3/17/20,0,1,1,1,0,427,1027,26,39,0,0,0,0,0,4/6/20,0,0,1,145.09,1356458,9349,"1,396",3.6,7.6,40.5,"12,774"
New Jersey,NJ,3/9/20,3/18/20,3/18/20,0,3/21/20,6/9/20,3/21/20,5/18/20,0,4/8/20,0,0,1,4/8/20,1,1,3/16/20,6/15/20,1,3/16/20,0,3/16/20,0,6/22/20,5/18/20,6/9/20,6/15/20,0,0,3/19/20,4/24/20,4/13/20,0,3/25/20,5/8/20,4/13/20,3/23/20,0,0,3/22/20,3/20/20,1,1,1,1,3/14/20,0,0,1,0,0,3/27/20,5/26/20,1,0,1,1,0,1,0,713,1313,26,39,0,0,0,0,0,0,0,1,1,"1,021.27",8908520,8723,"8,862",4.9,9.5,34.6,"75,765"
New Mexico,NM,3/11/20,3/16/20,0,3/13/20,3/24/20,5/31/20,3/24/20,5/15/20,1,5/16/20,0,0,1,5/6/20,0,0,3/19/20,6/1/20,1,3/19/20,6/1/20,3/19/20,0,6/1/20,0,5/13/20,0,0,0,3/24/20,0,3/19/20,0,3/27/20,4/28/20,0,3/23/20,0,0,3/20/20,3/20/20,0,1,0,0,3/12/20,3/16/20,1,0,0,0,3/27/20,4/30/20,0,0,1,1,0,0,0,511,1111,26,39,0,0,0,0,0,0,0,0,1,17.23,2095428,121590,"3,241",6.1,19.5,39.4,"19,007"
New York,NY,3/7/20,3/18/20,0,3/13/20,3/22/20,6/13/20,3/22/20,5/15/20,1,4/17/20,1,0,0,4/17/20,1,0,3/16/20,6/22/20,1,3/16/20,0,3/16/20,0,6/22/20,6/8/20,6/22/20,0,0,3/22/20,3/22/20,0,3/13/20,3/21/20,4/1/20,5/6/20,1/0/00,3/26/20,3/16/20,1,0,3/1/20,0,1,1,1,3/14/20,0,1,0,0,0,3/20/20,0,0,3/12/20,0,0,0,1,0,504,1104,26,39,0,0,0,0,3/27/20,0,0,0,1,358.21,19542209,54555,"92,091",5,13.6,36.9,"157,183"
North Carolina,NC,3/10/20,3/16/20,0,3/23/20,3/30/20,5/22/20,3/30/20,5/8/20,1,6/26/20,0,0,1,6/26/20,1,1,3/17/20,5/22/20,0,3/25/20,0,3/25/20,0,5/22/20,0,5/16/20,0,0,0,0,0,3/19/20,0,3/27/20,4/16/20,4/13/20,3/23/20,0,0,0,3/23/20,0,1,0,1,3/13/20,0,0,1,0,0,0,0,0,3/17/20,1,1,1,0,0,350,950,12,25,0,0,0,0,0,0,0,0,0,192.94,10383620,53819,"9,314",5,14,39,"93,885"
North Dakota,ND,3/13/20,3/16/20,0,4/6/20,0,0,0,5/1/20,0,0,0,0,0,4/28/20,1,1,3/20/20,5/1/20,0,3/20/20,5/1/20,3/20/20,5/1/20,5/1/20,0,0,5/1/20,0,0,0,0,0,0,4/1/20,5/1/20,0,3/24/20,0,0,3/20/20,3/20/20,0,0,0,0,3/12/20,3/12/20,0,1,0,0,0,0,0,3/20/20,1,1,0,0,0,618,1218,26,39,0,0,0,0,0,0,0,0,1,10.75,760077,70698,557,2.8,10.7,34.6,"6,445"
